"id"	"room"	"description"	"creator"	"gmt_created"	"modifier"	"gmt_modified"	"is_deleted"	"building_info_id"
"55"	"103"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"3"
"56"	"1FR"	"2.2栋1楼弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"3"
"57"	"2FSR"	"2.2栋2楼南弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"3"
"58"	"2FNR"	"2.2栋2楼北弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"3"
"59"	"3FSR"	"2.2栋3楼南弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"3"
"60"	"3FNR"	"2.2栋3楼北弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"3"
"61"	"4FSR"	"2.2栋4楼南弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"3"
"62"	"4FNR"	"2.2栋4楼北弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"3"
"63"	"5FSR"	"2.2栋5楼南弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"3"
"64"	"5FNR"	"2.2栋5楼北弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"3"
"65"	"1FSR"	"1.3栋1楼南弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"4"
"66"	"2FNR"	"1.3栋2楼北弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"4"
"67"	"3FNR"	"1.3栋3楼北弱电间"	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"4"
"68"	"203"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"4"
"69"	"204"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"4"
"70"	"303"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"4"
"71"	"304"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"4"
"72"	"306"	""	"admin"	"2018/8/30 15:23:22"	"admin"	"2018/8/30 15:23:23"	"0"	"4"
